Date,US_CPI_LEVEL
1994-08-03,142.22727272727272
1994-08-04,142.5659090909091
1994-08-05,142.90454545454543
1994-08-08,143.2431818181818
1994-08-09,143.58181818181816
1994-08-10,143.92045454545453
1994-08-11,144.2590909090909
1994-08-12,144.59772727272727
1994-08-15,144.93636363636364
1994-08-16,145.27499999999998
1994-08-17,145.61363636363635
1994-08-18,145.9522727272727
1994-08-19,146.29090909090908
1994-08-22,146.62954545454545
1994-08-23,146.96818181818182
1994-08-24,147.3068181818182
1994-08-25,147.64545454545456
1994-08-26,147.9840909090909
1994-08-29,148.32272727272726
1994-08-30,148.66136363636363
1994-08-31,149.0
1994-09-01,141.93
1994-09-02,142.2857142857143
1994-09-05,142.64142857142858
1994-09-06,142.99714285714288
1994-09-07,143.35285714285715
1994-09-08,143.70857142857145
1994-09-09,144.06428571428572
1994-09-12,144.42000000000002
1994-09-13,144.7757142857143
1994-09-14,145.1314285714286
1994-09-15,145.48714285714286
1994-09-16,145.84285714285716
1994-09-19,146.19857142857143
1994-09-20,146.55428571428573
1994-09-21,146.91
1994-09-22,147.2657142857143
1994-09-23,147.62142857142857
1994-09-26,147.97714285714287
1994-09-27,148.33285714285714
1994-09-28,148.68857142857144
1994-09-29,149.0442857142857
1994-09-30,149.4
1994-10-03,142.025
1994-10-04,142.39875
1994-10-05,142.7725
1994-10-06,143.14625
1994-10-07,143.52
1994-10-10,143.89375
1994-10-11,144.2675
1994-10-12,144.64125
1994-10-13,145.01500000000001
1994-10-14,145.38875000000002
1994-10-17,145.7625
1994-10-18,146.13625
1994-10-19,146.51
1994-10-20,146.88375
1994-10-21,147.2575
1994-10-24,147.63125
1994-10-25,148.005
1994-10-26,148.37875
1994-10-27,148.7525
1994-10-28,149.12625
1994-10-31,149.5
1994-11-01,142.21499999999997
1994-11-02,142.57142857142856
1994-11-03,142.9278571428571
1994-11-04,143.2842857142857
1994-11-07,143.64071428571427
1994-11-08,143.99714285714285
1994-11-09,144.3535714285714
1994-11-10,144.70999999999998
1994-11-11,145.06642857142856
1994-11-14,145.4228571428571
1994-11-15,145.7792857142857
1994-11-16,146.13571428571427
1994-11-17,146.49214285714285
1994-11-18,146.8485714285714
1994-11-21,147.20499999999998
1994-11-22,147.56142857142856
1994-11-23,147.91785714285712
1994-11-24,148.2742857142857
1994-11-25,148.63071428571428
1994-11-28,148.98714285714286
1994-11-29,149.3435714285714
1994-11-30,149.7
1994-12-01,142.21499999999997
1994-12-02,142.57142857142856
1994-12-05,142.9278571428571
1994-12-06,143.2842857142857
1994-12-07,143.64071428571427
1994-12-08,143.99714285714285
1994-12-09,144.3535714285714
1994-12-12,144.70999999999998
1994-12-13,145.06642857142856
1994-12-14,145.4228571428571
1994-12-15,145.7792857142857
1994-12-16,146.13571428571427
1994-12-19,146.49214285714285
1994-12-20,146.8485714285714
1994-12-21,147.20499999999998
1994-12-22,147.56142857142856
1994-12-23,147.91785714285712
1994-12-26,148.2742857142857
1994-12-27,148.63071428571428
1994-12-28,148.98714285714286
1994-12-29,149.3435714285714
1994-12-30,149.7
1995-01-02,142.785
1995-01-03,143.14285714285714
1995-01-04,143.50071428571428
1995-01-05,143.85857142857142
1995-01-06,144.21642857142857
1995-01-09,144.5742857142857
1995-01-10,144.93214285714285
1995-01-11,145.29
1995-01-12,145.64785714285713
